Code;Name;Start Date;End Date;Code client;Holder;Signatory name;Signatory Level;Status
0000136;CONTRAT FOURNITURE EUROFAST (DIVERS 2008;20070521;20081231;00006;ANIXTER FRANCE SARL;N/A;N/A;80
0000137;CONTRAT FOURNITURE EUROFAST (RATIER 2009;20070521;20091231;00006;ANIXTER FRANCE SARL;N/A;N/A;80
0000139;CONTRAT FOURNITURE EUROFAST (DIVERS 2008;20070521;20081231;00533;ALIGN AEROSPACE FRANCE;N/A;N/A;80
0000140;CONTRAT FOURNITURE EUROFAST (RATIER 2009;20070521;20091231;00533;ALIGN AEROSPACE FRANCE;N/A;N/A;80
0000247;CONTRAT FOURNITURE - DIVERS 2009;20090101;20091231;00533;ALIGN AEROSPACE FRANCE;N/A;N/A;80
0000145;REPRISE REFERENCES TURBOMECA;20071210;20091231;05143;PATTONAIR TAVERNY;N/A;N/A;80
0000118;CONTRAT CIRMA;20060101;20141231;05740;CIRMA ENTREPRISE;N/A;N/A;20
0000132;SOUS TRAITANT SAFRAN CONTRAT 2006-2009;20060101;20091231;06221;FAMAT;N/A;N/A;80
0000133;CONTRAT LATELEC;20070326;20111231;06358;LATELEC;N/A;N/A;80
0000018;HISPANO SUIZA CA010077 SOL;20020101;20060630;06530;HISPANO SUIZA;N/A;N/A;80
0000030;HISPANO SUIZA CA010054 VDR;20050101;20060630;06530;HISPANO SUIZA;N/A;N/A;80
0000262;AIRCELLE 2009-2010;20090101;20101231;06531;AIRCELLE;N/A;N/A;80
0000010;LATECOERE;20050101;20071231;06760;LATECOERE;N/A;N/A;80
0000096;CONTRAT 4600000218;20050101;20071231;06760;LATECOERE;N/A;N/A;80
0000173;EMBRAER-SUP0310-06;20080101;20081231;06760;LATECOERE;N/A;N/A;80
0000220;LATECOERE (ANNEXE B) _ N° 4600000745;20080701;20101231;06760;LATECOERE;N/A;N/A;80
0000224;EMBRAER-SUP0310-06;20080901;20081231;06760;LATECOERE;N/A;N/A;80
0000255;EMBRAER-SUP0310-06;20080901;20110731;06760;LATECOERE;N/A;N/A;80
0000031;Accord cadre ACCA1200;20040601;20051231;07080;MICROTURBO;N/A;N/A;80
0000067;MICROTURBO;20060101;20091231;07080;MICROTURBO;N/A;N/A;80
0000061;SNECMA VERNON;20060101;20091231;08040;SNECMA MOTEURS/DMF VERNON;N/A;N/A;80
0000007;AGREEMENT FOR A380 CARGO DOOR PROGRAM;20040208;20090208;08928;MURAKAMI EUROPE;N/A;N/A;80
0000034;Contrat Turbomeca VDR;20000101;20051231;09000;TURBOMECA;N/A;N/A;80
0000063;TURBOMECA 2006-2009;20060101;20100331;09000;TURBOMECA;N/A;N/A;80
0000082;TURBOMECA BISEAU;20060101;20070630;09000;TURBOMECA;N/A;N/A;80
0000216;TURBOMECA 2008 - 2009;20080701;20100331;09000;TURBOMECA;N/A;N/A;80
0000103;EUROCOPTER N° 018/99 (PIECES A PLAN);20050101;20081231;100003;EADS;N/A;N/A;80
0000318;AQ/APR/007/2009;20090325;20121231;200001;AERMACCHI;N/A;N/A;80
0000002;2005 AIRBUS CONTRACT -- AIRBUS;20041220;20081231;200003;AIRBUS;N/A;N/A;80
0000146;E/2003/111 - ANNEX A1 (PRICE BREAK);20080101;20091231;200003;AIRBUS;N/A;N/A;80
0000148;E/2003/111 - ANNEX A1 (Double anneal PN);20080101;20081231;200003;AIRBUS;N/A;N/A;80
0000150;E/2003/111 - ANNEX A2 (Eurofast PN);20080101;20081231;200003;AIRBUS;N/A;N/A;80
0000155;E/2003/111 - ANNEX A & A1;20080101;20151231;200003;AIRBUS;N/A;N/A;80
0000319;4600000543;20090325;20111231;200004;ALENIA;N/A;N/A;80
0000003;2005 AIRBUS CONTRACT -- BAE SYSTEME;20041220;20081231;200005;BAE SYSTEM;N/A;N/A;80
0000108;2005 AIRBUS CONTRACT -- BAE NEW;20060601;20070219;200005;BAE SYSTEM;N/A;N/A;80
0000042;104205 - VDR;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000043;104210 - VDR;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000044;104211 - VDR;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000045;104213 - VDR;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000046;104214 - VDR;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000047;104216 - VDR;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000048;5301 - VDR;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000049;920-5604 - VDR;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000050;921-1676;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000051;921-1694;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000053;921-701;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000054;921-724;20060101;20091231;200020;SAFRAN;N/A;N/A;80
0000106;2005 AIRBUS CONTRACT -- SPIRIT;20060601;20091231;200027;SPIRIT EU;N/A;N/A;80
0000000;NON RFP BAE SYSTEMS;20050101;20081231;300006;BAE UK;N/A;N/A;80
